row_index,start_dialogue,diagnostic_accuracy,use_of_dialogue_information,logical_consistency,estimate_completeness,parts_and_works_adequacy,safety,clarity,actionability,uncertainty_handling,business_logic_alignment,contextual_relevancy,error
641,Если ни один способ не помогает вернуть звук в левом наушнике,7,8,9,6,8,10,9,7,10,10,4,
761,Мой пульт управления Taranis X9D перестал точно реагировать на движения стиков,7,9,8,7,6,10,8,7,10,10,2,
881,"Можно ли поставить головку раньше, пока влажная",10,9,8,7,10,10,9,8,10,10,2,
42,"Если я всё проверил, а телефон по-прежнему не заряжается, что дальше?",7,9,8,7,7,10,9,8,10,10,4,
162,Что удерживает считыватель microSD карты?,10,9,8,7,8,10,9,8,10,10,4,
282,"Моя стиральная машина Daewoo DWC LDC1412S перестала сливать воду, что делать, если я ничего не понимаю в ремонте",8,9,9,7,8,10,9,8,10,10,6,
402,"Почему замена панели управления помогает не только восстановить работу, но и защитить окружающую среду",7,9,9,6,8,10,9,8,10,10,8,
522,"Что делать, если розетка оплавилась",9,10,8,7,8,10,10,9,10,10,2,
642,"Почему Bluetooth-наушники подключаются, но музыка не звучит",7,8,9,6,6,10,9,8,10,10,2,
762,Когда можно ставить пластиковую облицовку и сиденье обратно,10,9,8,7,10,10,9,8,10,10,6,
882,"Что делать, если после промывки изображение не улучшается",7,8,9,7,8,10,9,8,10,10,2,
43,Почему iPhone перестаёт заряжаться после нескольких секунд?,8,9,9,7,8,10,9,9,10,10,7,
163,Как безопасно снять модуль чтения microSD карты?,7,9,8,6,7,10,9,7,10,10,3,
283,Почему важно проверять правильность подключения разъёмов перед сборкой,8,10,9,7,8,10,9,8,10,10,2,
403,Как начать замену таймера в аэрогриле Chefman RJ38‑V2‑35,7,9,8,6,8,10,9,7,10,10,8,
523,Можно ли починить обгоревшие провода,7,9,9,6,6,10,8,7,10,10,5,
643,"Мой Android не видит наушники, хотя раньше всё работало",7,9,8,7,7,10,8,8,10,10,4,
763,Как безопасно отключить питание в пульте перед ремонтом,7,8,9,7,8,10,9,8,9,10,8,
883,Почему инструментальная чистка не помогает,8,9,9,7,8,10,9,8,10,10,4,
44,Нужно ли что-то делать перед началом ремонта?,7,10,9,6,7,10,8,8,10,10,3,
164,На что обратить внимание при установке microSD ридера обратно?,10,9,10,7,8,10,9,8,10,10,3,
404,После удаления всех винтов как снять верхнюю крышку,7,8,9,6,7,10,9,8,10,10,4,
284,"Перед тем как отсоединять трубки от насоса, зачем нужно сравнивать запчасти",7,8,9,6,7,10,9,8,10,10,3,
524,Как проверить исправность переключателя режима нагрева,7,9,9,7,8,10,9,8,10,10,2,
644,"Как понять, что в AirTag нужно менять батарейку",10,9,10,8,10,10,9,8,10,10,8,
764,Как завершить сборку после замены карбюратора,7,8,9,6,7,10,9,8,10,10,3,
45,"Можно ли просто заменить кабель, не разбирая телефон?",7,8,9,8,9,10,9,9,10,10,2,
884,Как проверить результат после сборки,6,8,9,5,3,10,9,7,10,10,2,
165,"Нужно ли менять розовый термосклад, если я его повредил?",7,9,8,6,8,10,9,7,10,10,3,
285,Как закреплён насос внутри стиральной машины,4,7,6,3,3,10,8,4,9,10,7,
405,"Как отсоединить провода таймера, чтобы установить новый",7,8,9,6,7,10,9,7,10,10,4,
645,"Мой AirTag перестал издавать звук и, кажется, не работает",10,9,10,8,10,10,10,9,10,10,9,
525,Как заменить переключатель на плите,7,8,9,6,7,10,8,7,10,10,8,
765,"После сборки мотоцикл заводится, но работает нестабильно",7,8,8,6,7,10,9,8,9,10,2,
885,Сколько времени занимает вся процедура чистки,8,9,9,7,8,10,9,8,10,10,7,
46,"Что значит, если телефон заряжается только при определённом угле кабеля?",8,10,9,7,8,10,9,8,10,10,3,
166,Что делать с пеной у выхлопа вентилятора?,7,9,8,6,6,10,9,7,9,10,3,
286,Что делать после выкручивания винтов крепления насоса,8,9,9,7,8,10,9,8,10,10,6,
406,Зачем снимать ручку температуры перед разборкой корпуса,4,7,6,6,7,10,8,7,9,10,3,
526,"Одна из конфорок зажигается медленно, но потом греет нормально",8,10,9,7,8,10,9,9,10,10,2,
646,"Как открыть AirTag, чтобы заменить батарейку",10,9,10,8,10,10,10,9,10,10,7,
886,Что такое калибровка в принтере HP,7,8,9,6,6,10,9,7,10,10,2,
766,Что такое Hall effect gimbals и зачем их устанавливать,7,8,9,6,7,10,9,7,10,10,5,
47,Что безопаснее — сначала проверять кабель или порт?,7,8,9,7,8,10,9,8,10,10,4,
287,"Если новый насос визуально совпадает со старым, что делать дальше",8,9,10,6,7,10,9,8,10,10,2,
167,Как правильно отсоединить батарею Switch?,7,8,9,6,5,10,9,8,10,10,2,
407,Что делать после снятия верхней панели аэрогриля,8,9,9,7,8,7,10,8,10,10,7,
527,Как заменить розетку для конфорки,10,9,8,7,9,10,9,8,10,10,6,
647,"Как снять крышку AirTag, если она не открывается",6,7,7,5,3,10,8,6,9,9,3,
767,Почему стики на моём Taranis X9D двигаются с рывками,7,10,9,6,7,10,8,7,9,10,2,
887,"Если цвета всё ещё бледные, можно повторить процедуру",7,8,9,7,8,10,9,8,10,10,6,
48,"Почему телефон реагирует на подключение, но заряд не идёт?",9,10,8,9,9,10,9,9,10,10,5,
168,Почему пластина снялась с усилием?,7,9,8,6,7,10,9,8,10,10,3,
288,Как правильно отсоединить шланги от старого насоса,8,9,9,7,8,10,9,8,10,10,5,
408,Как найти таймер внутри аэрогриля,7,8,9,6,7,10,9,7,10,10,3,
528,"Почему конфорка греет слишком сильно, даже на низкой мощности",8,9,9,7,8,10,9,8,10,10,2,
648,Где находится крышка батареи у AirTag,10,10,10,10,10,10,10,10,10,10,10,
768,"Как убедиться, что ремонт прошёл успешно",7,9,8,6,5,10,9,8,10,10,4,
888,"Что произойдёт, если калибровка сбита",7,8,9,6,7,10,9,8,10,10,3,
49,Какой первый шаг при проблеме с зарядкой iPhone?,7,9,9,8,8,10,9,9,10,10,8,
169,Какую функцию выполняет розовый термоматериал на Switch?,7,8,9,6,7,10,9,8,9,10,6,
289,Сколько шлангов подключено к насосу в машине Daewoo,7,9,8,6,5,10,9,7,9,10,2,
409,"Какие винты нужно открутить, чтобы снять корпус",7,8,9,6,7,10,9,8,10,10,8,
529,Плита перестала реагировать на ручку-регулятор,8,10,9,7,8,10,9,8,10,10,2,
649,"Что делать, если крышка AirTag застряла и не поворачивается",8,10,9,7,8,10,9,8,10,10,3,
